,TiRex-2,Chronos-Bolt,TimesFM-2.5,Moirai-1.1-R,TFT,PatchTST
TiRex-2,1.0,0.002,0.0,0.002,0.001,0.001
Chronos-Bolt,0.002,1.0,0.001,0.567,0.083,0.088
TimesFM-2.5,0.0,0.001,1.0,0.001,0.0,0.001
Moirai-1.1-R,0.002,0.567,0.001,1.0,0.087,0.138
TFT,0.001,0.083,0.0,0.087,1.0,0.457
PatchTST,0.001,0.088,0.001,0.138,0.457,1.0
